Attack Type,Attack Details,Search Regex
SQL injection,SQL 구문 키워드 (대소문자 무시),/(SELECT|INSERT|UPDATE|DELETE|UNION|DROP|CREATE TABLE|ALTER TABLE|EXEC|DECLARE|CAST)\b/i
,조건 로직 조작 키워드 (대소문자 무시),/(AND|OR|LIKE|IS NULL|IS NOT NULL|=|<|>)\b/i
,SQL 특수 문자,"/['"";\-\-]|(\/\*)|(\*\/)|\\|@/i"
,`UNION SELECT` 구문 (대소문자 무시),/(UNION\s+SELECT)\b/i
,`DROP TABLE` 구문 (대소문자 무시),/(DROP\s+TABLE)\b/i
,SQL 서버 확장 저장 프로시저 (대소문자 무시),/\b(xp_cmdshell|xp_regaddmultistring|xp_regdeletekey|xp_regdeletevalue|xp_regenumkeys|xp_regenumvalues|xp_regread|xp_regremovemultistring|xp_regwrite)\b/i
,"시간 기반 블라인드 SQL 인젝션 함수 (MySQL, PostgreSQL)",/\b(BENCHMARK|pg_sleep|sleep)\s*\(/i
XSS (크로스사이트 스크립팅),`<script>` 태그 (대소문자 무시),/<script\b[^>]*>(.*?)<\/script>/i
,JavaScript 이벤트 핸들러 (대소문자 무시),/\b(onload|onerror|onmouseover|onclick|onfocus|onblur)\s*=/i
,`javascript:` URL 스킴 (대소문자 무시),/(javascript:)/i
,`alert()` 함수 (대소문자 무시),/\balert\s*\(.*?\)/i
,`eval()` 함수 (대소문자 무시),/\beval\s*\(.*?\)/i
,`document.cookie` 접근 (대소문자 무시),/(document\.cookie)/i
,`window.location` 조작 (대소문자 무시),/(window\.location)/i
,`<img>` 태그 `src` 속성 내 `javascript:` (대소문자 무시),"/<img\s+[^>]*src=(['""]?)javascript:.*?\1[^>]*>/i"
,`<iframe>` 태그 (대소문자 무시),/<iframe\b[^>]*>/i
디렉토리 탐색,`../` 시퀀스 (대소문자 무시),/(\.\.\/)/i
,`..%2F` 시퀀스 (대소문자 무시),/(\.\.%2F)/i
,`%2E%2E%2F` 시퀀스 (대소문자 무시),/(%2E%2E%2F)/i
,`%2e%2e/` 시퀀스 (대소문자 무시),/(%2e%2e\/)/i
,`..\` 시퀀스 (대소문자 무시),/(\.\.\\)/i
,`..%5C` 시퀀스 (대소문자 무시),/(\.\.%5C)/i
,`%2E%2E%5C` 시퀀스 (대소문자 무시),/(%2E%2E%5C)/i
,`%2e%2e\` 시퀀스 (대소문자 무시),/(%2e%2e\\)/i
,`/etc/passwd` 또는 `win.ini`와 같은 민감한 파일 경로 (대소문자 무시),/\/etc\/passwd|\bwin\.ini\b/i
,"`file=`, `page=`, `download=`, `template=` 뒤에 `../` 또는 인코딩된 시퀀스 (대소문자 무시)",/(file=|page=|download=|template=).*\.\.\//i
명령어 삽입,쉘 명령 구분자,/([;&\|`\$\(\)])/
,일반적인 쉘 명령어 (대소문자 무시),/\b(exec|system|shell_exec|cmd\.exe|bash|sh|whoami|ls|dir|cat|rm|ping|nslookup|wget|curl)\b/i
,출력 재지향,"[>|<]{1,2}"
,시간 지연을 유발하는 `ping` 명령어,\bping\s+.*-c\s+\d+\b
,아웃오브밴드 상호작용을 위한 `nslookup`,\bnslookup\s+\S+\.\S+\b
파일 포함,PHP 파일 포함 함수 (대소문자 무시),/\b(include|require|include_once|require_once|fopen|file_get_contents)\s*\(.*\)/i
,JSP 파일 포함 지시어 (대소문자 무시),/\@include\s+file=/i
,"원격 파일 포함을 위한 `http://`, `https://`, `ftp://` (대소문자 무시)",/(http:\/\/|https:\/\/|ftp:\/\/)/i
,Null 바이트 삽입,/%00/
웹 취약점 스캐너 시그니처,일반적인 스캐너 관련 파일/디렉토리 (대소문자 무시),/\b(\.git|\.svn|wp-admin|phpinfo\.php|test\.php)\b/i
,알려진 스캐너의 User-Agent 문자열 (대소문자 무시),/(OWASP ZAP|Burp Suite|Nessus)/i
,"IBM AppScan 페이로드 내 ""appscan"" (대소문자 무시)",/(appscan)/i
